Year,5th,25th,50th,75th,95th,Mean
0.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
0.08333333333333333,98309.82427400316,99937.2806507956,101964.47281044337,103047.68833172535,105333.36846819482,101713.50686881844
0.16666666666666666,96900.96327860159,102126.84516458737,103308.06743309574,108273.72388208835,119350.52193060478,105818.69184869315
0.25,98539.00761492243,103038.85479541116,104128.42177958837,108655.82224449217,116306.92985077378,105946.09932311656
0.3333333333333333,101838.6739746978,104471.89296763232,106693.51785073725,109911.62329996578,116531.42765163771,107789.20193344273
0.4166666666666667,103435.51362691612,106054.00909133656,107889.82398076332,112055.417035555,119062.46990367562,109618.70580651394
0.5,104229.96238421979,106533.41731396061,110529.38935445154,114537.20054695295,125815.87768447834,112048.40262412664
0.5833333333333334,102884.12120451537,104249.52916895843,111004.88612019966,114466.5238961168,127280.15865573875,111924.94974279303
0.6666666666666666,105128.59431058913,105429.70835824992,111467.29376594053,117943.59202746143,130600.9144984199,113753.46019863946
0.75,106522.41527265547,108217.71682798001,112756.27875765978,117567.20078825638,134470.10082130536,115593.15212868263
0.8333333333333334,108321.62415189191,111702.38101577711,113547.41557239476,120867.94986461295,141297.47666218938,118740.1957885606
0.9166666666666666,107669.52068643925,114750.19004911855,116086.31005822023,126911.24003245353,146856.0297367108,121871.6293126937
1.0,110032.41407243605,117127.39116133557,117653.96346030015,127320.63858943753,148708.4001105979,123716.4947671734
1.0833333333333333,108447.74170876143,116649.60357612211,120783.14206125514,129278.43405017482,152061.16731903766,125156.16767065736
1.1666666666666667,110618.49956072566,119949.93059576048,126776.49362448632,131569.88257093192,156291.3926011986,128680.83643171871
1.25,113408.87747376863,121603.35891445051,127114.53351809326,133204.17511725915,163093.68177146345,131521.78997779702
1.3333333333333333,118160.02916310093,122070.58371717812,127607.58232253615,136665.5573350305,164922.88100521496,133529.67641213973
1.4166666666666667,115268.22876170947,118900.44490088121,127876.84999277533,136668.21896723236,170118.13126062416,133434.0640927297
1.5,120560.02394140787,124602.15216143349,128947.1385623882,140714.5486153707,177390.25916955143,138237.2576388892
1.5833333333333333,120338.61580852083,127001.64098647016,128224.72003530274,141305.15439392198,179823.53634917174,138884.17124083653
1.6666666666666667,121862.17931011257,130240.08840918614,132494.44919023698,144969.84612249548,182643.42886389425,141596.21815489698
1.75,123694.09879906906,129763.09962813597,136403.51662295597,146570.39199339875,182954.20408520082,143250.6973697295
1.8333333333333333,121046.07793419008,128853.84064513519,137314.27186841745,144503.60207108886,185838.59754272056,143150.75337790715
1.9166666666666667,119868.1280409141,130638.426320986,137495.42635447602,150548.16702592152,187830.12320964274,144616.98961048207
2.0,123279.62831843738,131492.90027352804,137160.25405206572,158507.8215983612,197237.00681886295,148804.1778532746
