Year,Path_1,Path_2,Path_3,Path_4,Path_5,Path_6,Path_7,Path_8,Path_9,Path_10
0.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
0.08333333333333333,106763.2006942416,97701.30264774228,103585.79574747097,102902.43444007688,101918.75955001473,99053.57292832201,99822.70614467331,100281.00416916246,103096.10629560817,102010.186070872
0.16666666666666666,107939.34857079858,96489.90768596278,109037.49136239689,108385.18231918494,102868.77956996765,102536.85930888174,97403.36455849346,127788.45603186582,101990.17378315591,103747.35529622383
0.25,109452.53684921846,98566.3318648402,109139.43639166695,104050.75992593514,103536.00606947571,98516.65141044426,104206.08363324161,121915.06957931907,107204.97980296783,102873.13770405631
0.3333333333333333,110889.58340752112,101063.09520291792,113727.91091218904,102786.60358465099,103826.36919848916,106430.99089800846,106977.7429772998,118825.21407482302,106956.04480346604,106408.46427506176
0.4166666666666667,112681.46308288178,103008.7325402901,116609.54083125184,103957.13495501457,107247.75371019327,107401.0794018448,108378.56855968182,121069.41187202236,110177.27889357465,105656.09421838431
0.5,112745.56538992988,106542.88643769683,115108.3674603268,103891.3897507343,104643.77338070204,112823.69980683141,108313.21331897321,133676.86293967848,116208.00681701154,106530.26093938187
0.5833333333333334,114854.91316441436,102829.87321074243,114916.5698506006,102950.42430801563,103003.67516843948,113301.35609122412,107987.09117051522,137395.8222235791,113269.17110977918,108740.60113062013
0.6666666666666666,118851.73327546765,105341.47136373846,115219.16828344278,105694.4193417843,104995.25085751551,119626.06431322814,105291.56964212356,139580.33737721317,113444.65565426296,109489.9318776181
0.75,122062.14661990305,108111.77989696864,118155.77564139779,106138.27786505918,106991.91654860649,115801.47622883215,108535.5276210141,144622.06334972547,113630.87864912573,111881.67886619382
0.8333333333333334,124177.28872329308,113074.09846835847,111919.10131113633,111630.14091732404,109303.40497956185,121508.93036792678,107518.34892925287,155304.90315765003,114020.73267643107,118945.00835467146
0.9166666666666666,130432.68770324237,117088.0559790119,115084.56413742855,111071.15777668836,114950.00895498728,128709.19897540928,104886.36306714453,160293.30958227595,114683.58374716231,121517.36320358627
1.0,128438.31859953639,117403.96065928372,117903.96626131659,117061.84418021496,117324.03210469741,130608.8789736933,106097.51972378015,163517.09922261082,114841.72938745991,123967.59855914097
1.0833333333333333,131902.89012114907,112467.85154392636,120974.47082783484,118915.05578340487,115894.4528403612,130005.72902411615,105158.56093453558,168554.3032082193,120591.81329467546,127096.54912835085
1.1666666666666667,132117.63041833593,114558.16469706813,121685.8767424761,119371.2818801886,124561.14326012568,132189.63317540585,107395.13717644544,176011.01394957458,128991.84398884696,129926.63902871992
1.25,141435.79853924277,118610.78140282551,124119.6252072508,120764.60348351709,125842.25565999308,132728.87246171737,109152.77425908572,180813.76805237136,133362.60933577307,128386.81137619342
1.3333333333333333,146985.37977192362,120989.32827457642,125314.35004498322,120520.2937457669,132335.37382849192,138108.95183721,116228.90359546513,179599.01837790792,128776.44604082157,126438.71860425075
1.4166666666666667,154879.48573186557,123251.33308859484,117450.14883831001,116078.93396342814,126249.6045196915,138468.43751055576,114604.92450575784,182586.11396597212,129504.09546585918,131267.56333726214
1.5,160717.29303294612,138825.8709427735,123737.16254045576,118287.88806563616,127197.1210243667,141344.10783956977,123337.0789006844,191031.7769176831,127631.77632879498,130262.50079598141
1.5833333333333333,155330.70799453667,141632.698146743,126804.37024275392,119581.87421381062,128368.3046211601,140322.52313545896,121263.52220205552,199863.12318478234,127593.45321761888,128081.13544944538
1.6666666666666667,157422.60069468644,138130.7967133643,131697.32542505066,122552.19558801701,129959.2325859494,147249.52925887256,121297.62053728166,203278.65191142802,131082.65587889636,133291.5729554233
1.75,154968.47227461007,143727.47177497525,129804.3651299914,127502.49748916549,137518.75942697568,147518.0320662066,120578.13623444471,205851.6210211388,129749.34446085083,135288.27381893626
1.8333333333333333,153079.52292547093,144987.45184479642,133020.70260045663,127524.63663706885,141607.8411363783,143052.0527499662,115745.4389954711,212641.47677501585,127783.47623304666,132064.93388140076
1.9166666666666667,154986.67691797728,148459.1982144112,135596.00065266227,130617.48412910261,139394.85205628973,151244.48996309162,116575.6968268331,214702.0338119146,123892.210635902,130701.25289663613
2.0,154924.16840727965,162114.6827797546,132317.6151202624,131224.11866614106,142002.892983869,159702.37266205502,119121.75242452873,225973.45375995172,128361.47663321461,132299.245095689
